Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Jackson, KY by John Kenneth Terry",453,http://mappalachia.org/pictures/gallery/full_size/map_453.jpg,John Kenneth Terry,1957,Breathitt,"Jackson, KY",Berea College Special Collections and Archives,Rights Reserved by: John Kenneth Terry,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5531457,-83.3835135,10,,
"Jackson, KY by John Kenneth Terry",454,http://mappalachia.org/pictures/gallery/full_size/map_454.jpg,John Kenneth Terry,1957,Breathitt,"Jackson, KY",Berea College Special Collections and Archives,Rights Reserved by: John Kenneth Terry,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5531457,-83.3835135,10,,
"Frog Level Community, NC by Larry Baber",455,http://mappalachia.org/pictures/gallery/full_size/map_455.jpg,Larry Baber,1957,Rutherfordton,"Frog Level Community, NC",Berea College Special Collections and Archives,Rights Reserved by: Larry Baber,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.3353986,-81.9206601,10,,
"Olive Hill, KY by Marvin E. Carroll",456,http://mappalachia.org/pictures/gallery/full_size/map_456.jpg,Marvin E. Carroll,1957,Carter,"Olive Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Marvin E. Carroll,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3000809,-83.1740654,10,,
"Duff, TN by Betty Pierce",457,http://mappalachia.org/pictures/gallery/full_size/map_457.jpg,Betty Pierce,1969,Campbell,"Duff, TN",Berea College Special Collections and Archives,Rights Reserved by: Betty Pierce,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4467459,-84.0674243,10,,
"Rogersville, TN by Patsy Brown",458,http://mappalachia.org/pictures/gallery/full_size/map_458.jpg,Patsy Brown,1957,Hawkins,"Rogersville, TN",Berea College Special Collections and Archives,Rights Reserved by: Patsy Brown,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.407317,-83.0054423,10,,
"Wayne, WV by Carmelita Pauley",459,http://mappalachia.org/pictures/gallery/full_size/map_459.jpg,Carmelita Pauley,1969,Wayne,"Wayne, WV",Berea College Special Collections and Archives,Rights Reserved by: Carmelita Pauley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2214748,-82.4423747,10,,
"Ararat, KY by Earlene Hawks",460,http://mappalachia.org/pictures/gallery/full_size/map_460.jpg,Earlene Hawks,1969,Patrick,"Ararat, KY",Berea College Special Collections and Archives,Rights Reserved by: Earlene Hawks,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.599025,-80.5106191,10,,
"Mousie, KY by Vernon",461,http://mappalachia.org/pictures/gallery/full_size/map_461.jpg,Vernon,1957,Knott,"Mousie, KY",Berea College Special Collections and Archives,Rights Reserved by: Vernon,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.418563,-82.8779013,10,,
"Newdale, NC by Willa Ann Boone",462,http://mappalachia.org/pictures/gallery/full_size/map_462.jpg,Willa Ann Boone,1957,Yancy,"Newdale, NC",Berea College Special Collections and Archives,Rights Reserved by: Willa Ann Boone,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9173357,-82.300961,10,,
"Riverside, VA by John Sanslow",463,http://mappalachia.org/pictures/gallery/full_size/map_463.jpg,John Sanslow,1969,Roanoke,"Riverside, VA",Berea College Special Collections and Archives,Rights Reserved by: John Sanslow,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2557541,-79.9427915,10,,
