Title,Identifier,Creator,Date,Subject,Source,Rights,Format,Language,Type,Coverage,,Image
map_174,174,Charles S. Davidson,1967,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Charles S. Davidson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_175,175,Hope Worrell,1968,"Rice Station, KY",Berea College Special Collections and Archives,Rights Reserved by: Hope Worrell,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_176,176,John K. Londan,1969,"Elizabeth, KY",Berea College Special Collections and Archives,Rights Reserved by: John K. Londan,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_177,177,Lena Prewitt,1969,"Williamsburg, KY",Berea College Special Collections and Archives,Rights Reserved by: Lena Prewitt,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_178,178,Rose M Brockman,1952,"Sand Gap, KY",Berea College Special Collections and Archives,Rights Reserved by: Rose M Brockman,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_179,179,Ann Lewis,0,"Kenova, WV",Berea College Special Collections and Archives,Rights Reserved by: Ann Lewis,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_180,180,Ann Runyon,0,"Williamson, WV",Berea College Special Collections and Archives,Rights Reserved by: Ann Runyon,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_181,181,Betty Thompson,1965,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Betty Thompson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_182,182,John Shotwell,1965,"Corbin, KY",Berea College Special Collections and Archives,Rights Reserved by: John Shotwell,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_184,184,Arthur Williams Jr.,0,"Trammel, VA",Berea College Special Collections and Archives,Rights Reserved by: Arthur Williams Jr.,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_185,185,Becky Henderson,0,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Becky Henderson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_186,186,Alan Lewis,0,"Bristol, TN",Berea College Special Collections and Archives,Rights Reserved by: Alan Lewis,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_187,187,Bernard Furry,0,"Staunton, VA",Berea College Special Collections and Archives,Rights Reserved by: Bernard Furry,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_188,188,Beecher Hines,0,"Poplarville, KY",Berea College Special Collections and Archives,Rights Reserved by: Beecher Hines,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_189,189,Bernard Furry,0,"Staunton, VA",Berea College Special Collections and Archives,Rights Reserved by: Bernard Furry,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_190,190,Bill Hall,0,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hall,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_191,191,Arthur Williams Jr.,0,"Trammel, VA",Berea College Special Collections and Archives,Rights Reserved by: Arthur Williams Jr.,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_194,194,Bill Banks,0,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Banks,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_195,195,Bill Hall,0,"Wheelwright, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Hall,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_196,196,David Henderson,0,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: David Henderson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_197,197,David S Thomas,0,"Buffalo, KY",Berea College Special Collections and Archives,Rights Reserved by: David S Thomas,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_198,198,Dean Jones,0,"Kimball, WV",Berea College Special Collections and Archives,Rights Reserved by: Dean Jones,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_199,199,Doris Watts,0,"Lost Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Doris Watts,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_200,200,"Donald R Thomas	",0,"Berea, KY",Berea College Special Collections and Archives,"Rights Reserved by: Donald R Thomas	","Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_202,202,Dorothy Chandler,0,"Tango, WV",Berea College Special Collections and Archives,Rights Reserved by: Dorothy Chandler,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_203,203,Bonnie J. Baker,1965,"Keyser, KY",Berea College Special Collections and Archives,Rights Reserved by: Bonnie J. Baker,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_204,204,Donna Pratt Franklin,0,"Franklin, OH",Berea College Special Collections and Archives,Rights Reserved by: Donna Pratt Franklin,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_205,205,Jack Bragg,1965,"Ansted, WV",Berea College Special Collections and Archives,Rights Reserved by: Jack Bragg,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_206,206,Dan Kilpatrick,1966,"Marble, NC",Berea College Special Collections and Archives,Rights Reserved by: Dan Kilpatrick,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_207,207,Bob Colliver,1969,"Bethel, KY",Berea College Special Collections and Archives,Rights Reserved by: Bob Colliver,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_208,208,Jerry Tolliver,1964,"Walkertown, KY",Berea College Special Collections and Archives,Rights Reserved by: Jerry Tolliver,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_209,209,Asbury,1965,"Walkertown, KY",Berea College Special Collections and Archives,Rights Reserved by: Asbury,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_210,210,Audie Jaye Stewart,1965,"Ross Point, KY",Berea College Special Collections and Archives,Rights Reserved by: Audie Jaye Stewart,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_211,211,Brenda Baldwin,1965,"Kopperston, WV",Berea College Special Collections and Archives,Rights Reserved by: Brenda Baldwin,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_212,212,E. Rees,1965,"Beckley, KY",Berea College Special Collections and Archives,Rights Reserved by: E. Rees,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_213,213,Ginger Crain,1965,"Marshall, KY",Berea College Special Collections and Archives,Rights Reserved by: Ginger Crain,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_214,214,Harold C. Weatherman,1965,"Elkin, SC",Berea College Special Collections and Archives,Rights Reserved by: Harold C. Weatherman,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_215,215,JB Trout Jr.,1965,"Pinsofork, KY",Berea College Special Collections and Archives,Rights Reserved by: JB Trout Jr.,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_216,216,Scott Fuition,0,"Frakes, KY",Berea College Special Collections and Archives,Rights Reserved by: Scott Fuition,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_217,217,Sharon,0,"Harper, KY",Berea College Special Collections and Archives,Rights Reserved by: Sharon,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_218,218,Shasta Ratliff,0,"Sycamore Hollow, KY",Berea College Special Collections and Archives,Rights Reserved by: Shasta Ratliff,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_219,219,Sylvia Barnett,0,"Jefferson City, KY",Berea College Special Collections and Archives,Rights Reserved by: Sylvia Barnett,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_220,220,Teresa Combs,0,"Ary, KY",Berea College Special Collections and Archives,Rights Reserved by: Teresa Combs,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_221,221,Thelma Rose,0,"Ansted, WV",Berea College Special Collections and Archives,Rights Reserved by: Thelma Rose,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_222,222,Tom Van Sant,0,"Mt. Victory, KY",Berea College Special Collections and Archives,Rights Reserved by: Tom Van Sant,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_223,223,Tony Snow,0,"Elkin, NC",Berea College Special Collections and Archives,Rights Reserved by: Tony Snow,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_224,224,Walen Craft,0,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Walen Craft,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_225,225,Walter Olin,0,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Walter Olin,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_226,226,Walter Perry,0,"Fountain City, TN",Berea College Special Collections and Archives,Rights Reserved by: Walter Perry,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_227,227,Hobert Hampton,1952,"Erwin, TN",Berea College Special Collections and Archives,Rights Reserved by: Hobert Hampton,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_228,228,joyce Tolliver,1961,"Nepton, KY",Berea College Special Collections and Archives,Rights Reserved by: joyce Tolliver,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_229,229,Gary Cooke,1961,"Somerset, KY",Berea College Special Collections and Archives,Rights Reserved by: Gary Cooke,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_230,230,Kash Mullins,1961,"Vicco, KY",Berea College Special Collections and Archives,Rights Reserved by: Kash Mullins,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_231,231,Pat Powell,1961,"Cincinnati, OH",Berea College Special Collections and Archives,Rights Reserved by: Pat Powell,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_232,232,Wayne Carpenter,1961,"Three Mile, NC",Berea College Special Collections and Archives,Rights Reserved by: Wayne Carpenter,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_233,233,Willie Frances Moore,1961,"Lancaster, KY",Berea College Special Collections and Archives,Rights Reserved by: Willie Frances Moore,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_234,234,Richard Deaton,1961,"Tina, KY",Berea College Special Collections and Archives,Rights Reserved by: Richard Deaton,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_235,235,Bill Stark,1962,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Bill Stark,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_236,236,Don Spence,1962,"Tomahawk, KY",Berea College Special Collections and Archives,Rights Reserved by: Don Spence,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_237,237,Donna Le Master,1962,"Ashland, KY",Berea College Special Collections and Archives,Rights Reserved by: Donna Le Master,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_238,238,Elton White,1962,"Welch, WV",Berea College Special Collections and Archives,Rights Reserved by: Elton White,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_239,239,Jo Anne McClelland,1962,"Fayetteville, WV",Berea College Special Collections and Archives,Rights Reserved by: Jo Anne McClelland,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_240,240,Naomi McConnell,1962,"Coeburn, VA",Berea College Special Collections and Archives,Rights Reserved by: Naomi McConnell,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_241,241,Penny Hale,1962,"Wytheville, KY",Berea College Special Collections and Archives,Rights Reserved by: Penny Hale,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_242,242,Ruth Lanier,1962,"Cartersville, GA",Berea College Special Collections and Archives,Rights Reserved by: Ruth Lanier,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_243,243,Carlos R. Jackson,1963,"Fort Gay, WV",Berea College Special Collections and Archives,Rights Reserved by: Carlos R. Jackson,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_244,244,Doris Jean Watts,1963,"Lost Creek, KY",Berea College Special Collections and Archives,Rights Reserved by: Doris Jean Watts,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_245,245,Jack Cassell,1963,"Coeburn, KY",Berea College Special Collections and Archives,Rights Reserved by: Jack Cassell,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
